__Book,Chapters,Verses,Paragraphs,Headings
Matthew,28,1071,0,28
Mark,16,678,0,16
Luke,24,1151,0,24
John,21,879,0,21
Acts,28,1007,0,28
Romans,16,433,1,16
1 Corinthians,16,437,1,16
2 Corinthians,13,257,1,13
Galatians,6,149,1,6
Ephesians,6,155,1,6
Philippians,4,104,1,4
Colossians,4,95,1,4
1 Thessalonians,5,89,1,5
2 Thessalonians,3,47,1,3
1 Timothy,6,113,1,6
2 Timothy,4,83,1,4
Titus,3,46,1,3
Philemon,1,25,1,1
Hebrews,13,303,1,13
James,5,108,0,5
1 Peter,5,105,0,5
2 Peter,3,61,0,3
1 John,5,105,0,5
2 John,1,13,0,1
3 John,1,14,0,1
Jude,1,25,0,1
Revelation,22,404,1,22
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
